,날짜,영화명,평점
0,20190101,보헤미안 랩소디,9.49
1,20190101,헌터 킬러,9.43
2,20190101,폴란드로 간 아이들,9.42
3,20190101,트루먼 쇼,9.32
4,20190101,점박이 한반도의 공룡2 : 새로운 낙원,9.24
5,20190101,스파이더맨: 뉴 유니버스,9.23
6,20190101,러빙 빈센트,9.20
7,20190101,바울,9.18
8,20190101,인생 후르츠,9.17
9,20190101,극장판 포켓몬스터 모두의 이야기,9.16
10,20190101,스타 이즈 본,9.15
11,20190101,타샤 튜더,9.14
12,20190101,히트,9.10
13,20190101,로마,9.07
14,20190101,카메라를 멈추면 안 돼!,9.02
15,20190101,러브 오브 시베리아,9.02
16,20190101,어거스트 러쉬,9.00
17,20190101,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.78
18,20190101,영주,8.68
19,20190101,브로크백 마운틴,8.68
20,20190101,완벽한 타인,8.68
21,20190101,7년-그들이 없는 언론,8.52
22,20190101,스윙키즈,8.50
23,20190101,아쿠아맨,8.41
24,20190101,그린치,8.36
25,20190101,너의 췌장을 먹고 싶어,8.34
26,20190101,국가부도의 날,8.23
27,20190101,범블비,8.16
28,20190101,부탁 하나만 들어줘,7.94
29,20190101,트와일라잇,7.87
30,20190101,런닝맨 : 풀룰루의 역습,7.76
31,20190101,호두까기 인형과 4개의 왕국,7.39
32,20190101,언니,6.77
33,20190101,마약왕,6.69
34,20190101,나쁜 나라,6.49
35,20190101,도어락,6.41
36,20190101,PMC: 더 벙커,5.57
37,20190101,두 개의 문,5.15
38,20190101,천안함 프로젝트,4.33
39,20190102,보헤미안 랩소디,9.49
40,20190102,폴란드로 간 아이들,9.42
41,20190102,헌터 킬러,9.42
42,20190102,트루먼 쇼,9.32
43,20190102,스파이더맨: 뉴 유니버스,9.23
44,20190102,점박이 한반도의 공룡2 : 새로운 낙원,9.23
45,20190102,러빙 빈센트,9.20
46,20190102,바울,9.17
47,20190102,인생 후르츠,9.17
48,20190102,극장판 포켓몬스터 모두의 이야기,9.16
