num,title,url,views
1,Machine learning 1 - 2. 머신러닝이란?,https://www.youtube.com/watch?v=KR8ddnPjCtk,75K
2,머신러닝 강의 1편 10시간 완성 - [카카오 추천팀 출신] - 카이스트 AI박사,https://www.youtube.com/watch?v=oyzIT1g1Z3U,14K
3,인공지능? 머신러닝? 딥러닝? 그 차이는 무엇일까?! l AI Planet,https://www.youtube.com/watch?v=EMMkLEXN09I,11K
4,머신러닝(기계학습) overview of Machine Learning,https://www.youtube.com/watch?v=IiyYsAMmmw4,18K
5,Don’t learn machine learning,https://www.youtube.com/watch?v=432p379XXMw,81K
6,딥러닝?? 머신러닝?? 대체 뭐가 다른거야? 딥러닝과 머신러닝의 차이점에 대해 아는척 해보자.,https://www.youtube.com/watch?v=NbLVcMmxSw0,37K
7,"선형과 비선형의 차이 (머신러닝, 딥러닝)",https://www.youtube.com/watch?v=umiqnfQxlac,18K
8,K-means Clustering– 머신러닝의 6가지 기법 #1,https://www.youtube.com/watch?v=41f4VKEPev8,2.9K
9,머신러닝 입문 강좌 | TEAMLAB X Inflearn | 1-3 How to learn machine learning,https://www.youtube.com/watch?v=-2f3QZsUGp8,5.8K
10,AI vs. Machine Learning vs. Deep Learning,https://www.youtube.com/watch?v=arbbhHyRP90,350K
11,Explain Machine Learning. Like I'm Five,https://www.youtube.com/watch?v=olz_mEIlQUU,67K
12,런닝머신 인터벌 30분 편집본,https://www.youtube.com/watch?v=sOWGFGUtXO4,154K
13,"""AI, AI, AI"" 우리가 가야할 길?",https://www.youtube.com/watch?v=R_aM2U5YQAs,437K
14,구글 미친놈들... 막으려는 임원들이 해고당한 논란의 인공지능 PaLM,https://www.youtube.com/watch?v=u_S2fWh8pgU,105K
15,[5군단 - 트랙B] 2022년 7월 13일 (수) AI밀리터리 교육,https://www.youtube.com/watch?v=JqnnS_dlO4w,845
16,"머신러닝 딥러닝 공부법 (입문자들이 꼭 봐야할 영상) /  머신러닝 기초 개념 / 빅데이터, 데이터사이언스",https://www.youtube.com/watch?v=uTjHfUlKJyU,31K
17,인공지능 그리고 머신러닝의 모든것 [고지식 - 거니],https://www.youtube.com/watch?v=xPpmxNPyznY,70K
18,ㄹㅇ쉬운 딥러닝 1강 : 머신러닝 개념부터 중학교 레벨로 설명해줌,https://www.youtube.com/watch?v=U57LVkQVf4o,29K
19,The danger of AI is weirder than you think | Janelle Shane,https://www.youtube.com/watch?v=OhCzX0iLnOc,2.4M
20,오감(五感)과 1시간 이상의 어린이 교육 학습 영상!,https://www.youtube.com/watch?v=iWaXjgDEfj0&pp=ugMICgJrbxABGAE%3D,3M
21,"But what is a neural network? | Chapter 1, Deep learning",https://www.youtube.com/watch?v=aircAruvnKk,11M
22,Top 5 머신러닝 알고리즘,https://www.youtube.com/watch?v=gKQJvr0UHis,15K
23,머신러닝의 기초 - 선형 회귀 한 번에 제대로 이해하기 (30분만 투자해봐요!),https://www.youtube.com/watch?v=ve6gtpZV83E,148K
24,머신러닝 / 딥러닝 / AI 초간단 개념정리,https://www.youtube.com/watch?v=UWb8WZBEEWo,43K
25,"[09] 머신러닝의 종류와 특징 - 지도학습, 비지도학습, 강화학습",https://www.youtube.com/watch?v=qJoqYKdDwKI,19K
26,2장 머신러닝 프로젝트 처음부터 끝까지 (1),https://www.youtube.com/watch?v=KMa5z3amwv4,9.6K
